version,code,name,introduced,cancelled,valid_or_future_export,focus_2025_2026,role_PLA88,offline_file,edison_url,sha256
730-0121/01,730-0121,Laboratorní cvičení z organické chemie,2007/2008,2009/2010,0,0,,archive/versions/version_730-0121_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0121%2F01&locale=cs,1cdaea78817b3fdcab7c7d9b6af5ef1fa6d9f5de8c52ea990475e14880572f72
730-0125/01,730-0125,Systém managementu kvality v laboratořích,2007/2008,2009/2010,0,0,,archive/versions/version_730-0125_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0125%2F01&locale=cs,311b1cc50ece13a2c39bb27ac3e5900a7901416529b0d094304cfd792deb577e
730-0125/02,730-0125,Systém managementu kvality v laboratořích,2009/2010,2009/2010,0,0,,archive/versions/version_730-0125_02.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0125%2F02&locale=cs,9591560edcb2b0f6eb2ba00f794077c96b13399a9671298ef517d46c276ae1c1
730-0135/01,730-0135,Laboratorní cvičení k bakalářské práci I,2007/2008,2009/2010,0,0,,archive/versions/version_730-0135_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0135%2F01&locale=cs,f949ea07654b50924b588f8ecf6457c85fb682e213c21f720492ca04cdfbd05d
730-0136/01,730-0136,Laboratorní cvičení k bakalářské práci II,2007/2008,2009/2010,0,0,,archive/versions/version_730-0136_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0136%2F01&locale=cs,5f0c9dc1979365c40054d0e878a905a6af152afc0a547ccb5a547c68d75c1edc
730-0146/01,730-0146,Měření k diplomové práci I,2007/2008,2009/2010,0,0,,archive/versions/version_730-0146_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0146%2F01&locale=cs,0fd1bd4d74e46cfdad188e9f2c3940eb88b4811da66d3b405088aefd41b276cb
730-0153/01,730-0153,Měření k diplomové práci II,2007/2008,2009/2010,0,0,,archive/versions/version_730-0153_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0153%2F01&locale=cs,f64e8b6c96c62678f791ad876fa5f3201fdf0e171c746da5b9719d5362e17387
730-0154/01,730-0154,Měření k diplomové práci III,2007/2008,2009/2010,0,0,,archive/versions/version_730-0154_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0154%2F01&locale=cs,93943a6d6fd54b46a9fd42e76a473433ce6b777f29362078f2c7a057583eac3e
9350-3021/01,9350-3021,Heterogenní katalýza a fotokatalýza,2025/2026,,1,1,,archive/versions/version_9350-3021_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9350-3021%2F01&locale=cs,814c58a1be608b96c22e54c132d6ce8911b98436bf105922bc570a71c0634991
9350-3021/02,9350-3021,Heterogenní katalýza a fotokatalýza,2025/2026,,1,1,,archive/versions/version_9350-3021_02.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9350-3021%2F02&locale=cs,e732ea9de92f15dfd7d58b71be16a05f4620dd971f05c184386cbea1d72475ea
9360-0002/01,9360-0002,Polutanty životního prostředí,2013/2014,2023/2024,0,0,,archive/versions/version_9360-0002_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0002%2F01&locale=cs,9c2be06ee61df579dbfb3957118fe5ac8d943ddfe4ef8cf9153e10754c056e86
9360-0002/02,9360-0002,Polutanty životního prostředí,2013/2014,2020/2021,0,0,,archive/versions/version_9360-0002_02.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0002%2F02&locale=cs,b0304fbd3316ec0350c767c21e0d3840ec974022ddc1ea7a0c9eaf7ee3413b6e
9360-0003/01,9360-0003,Biotechnologie plastů,2012/2013,2019/2020,0,0,,archive/versions/version_9360-0003_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0003%2F01&locale=cs,a73c0c179650566833215f668149440c56b3cadc05112fa55d501f92466fc12a
9360-0004/01,9360-0004,Biochemie,2010/2011,2019/2020,0,0,,archive/versions/version_9360-0004_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0004%2F01&locale=cs,f99ec1f060ef6d133d88ba48fb18187cdbb335158f6587a001b18bd8e9a6515d
9360-0005/01,9360-0005,Chemie,2010/2011,2012/2013,0,0,,archive/versions/version_9360-0005_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0005%2F01&locale=cs,268463ff851ccfe243f76da1ca8c9203f205bd69e480933ed869ba9ef5e7691f
9360-0005/02,9360-0005,Chemie,2011/2012,2020/2021,0,0,,archive/versions/version_9360-0005_02.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0005%2F02&locale=cs,c8e3e7511e056d4ccaf6e93ede3fdc23c215974d92f48bda63b58aec3f712a6a
9360-0005/03,9360-0005,Chemie,2012/2013,2021/2022,0,0,,archive/versions/version_9360-0005_03.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0005%2F03&locale=cs,1cbad1ad961399afbbc5490e8fd5753870a5fee24f6d3f6f9dfd7f7aad28e3da
9360-0014/01,9360-0014,Analytická chemie odpadních materiálů,2010/2011,2012/2013,0,0,,archive/versions/version_9360-0014_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0014%2F01&locale=cs,e2695eb4bab510241d851c7f2fe056cd2d4162929931f955f2552b43f313c869
9360-0014/02,9360-0014,Analytická chemie odpadních materiálů,2012/2013,2015/2016,0,0,,archive/versions/version_9360-0014_02.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0014%2F02&locale=cs,0bb0dc7ff5ebcda0a2e59f5f957405972417e797a924ff43c0d22c8dbc4ed926
9360-0015/01,9360-0015,Instrumentální metody analýzy,2010/2011,2015/2016,0,0,,archive/versions/version_9360-0015_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0015%2F01&locale=cs,a2352d792bde3acacfd8efcc8bb9f048d452ab12a2dce8f8e22d0818f942b6f0
9360-0106/01,9360-0106,Základní výpočty v chemii,2010/2011,2019/2020,1,0,,archive/versions/version_9360-0106_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0106%2F01&locale=cs,f5e97f3585052d73c372449045530b01cd140c3cb57e0a9a0aff7f63dc08e1c2
9360-0106/02,9360-0106,Základní výpočty v chemii,2019/2020,2025/2026,1,1,,archive/versions/version_9360-0106_02.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0106%2F02&locale=cs,234601b5d626ac76a260aab79e7a683bcefd5dc306a8a5cc0f3d579ad1726db4
9360-0106/03,9360-0106,Základní výpočty v chemii,2010/2011,2019/2020,1,0,,archive/versions/version_9360-0106_03.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0106%2F03&locale=cs,b2240b89c34f5a38732d76ecf2c828494d75e91c947e7275d9a702f307cc0405
