kind,code,version,url,file,size,sha256,pla88
version,617-1401,617-1401/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=617-1401%2F01&locale=cs,archive/versions/version_617-1401_01.html,167543,43ddf05579890c13125ae566caa6c2f7cf206aef1ad1958dd53e4e15336309bc,True
version,617-1807,617-1807/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=617-1807%2F01&locale=cs,archive/versions/version_617-1807_01.html,173312,a1df7b0244abd585b186317e2d7e99c0089130b6260817c36f78817c8339825d,True
version,617-1810,617-1810/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=617-1810%2F01&locale=cs,archive/versions/version_617-1810_01.html,173435,3b81f852c1c319c925c567c04aa35b50ec3f400aeae1c76e3c091032edd1d371,True
version,617-1815,617-1815/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=617-1815%2F01&locale=cs,archive/versions/version_617-1815_01.html,173310,eb177cead58888ddfbfa2bdfb77ea1deebfeb12c53cbab75696dee392b57b72d,True
version,730-0004,730-0004/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0004%2F01&locale=cs,archive/versions/version_730-0004_01.html,166959,e3a6cd18117d6c708b0f59deac26631c8f27c94eef49c0b9f49350060db86147,True
version,730-0005,730-0005/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0005%2F01&locale=cs,archive/versions/version_730-0005_01.html,185047,fcdb85f805272979c011b7c4d74817af0a3572667861791a6ada04aad6499371,True
version,730-0005,730-0005/02,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0005%2F02&locale=cs,archive/versions/version_730-0005_02.html,173502,bd93fd9970e17ea129791e0ce88154582e044b25952bdad5e0f90f0d68b555ee,False
version,730-0005,730-0005/03,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0005%2F03&locale=cs,archive/versions/version_730-0005_03.html,193181,dac764c8a154b7358ec9205dbb97fa2d8ab01048ff1f4bc63da1f4db163ff48f,True
version,730-0014,730-0014/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0014%2F01&locale=cs,archive/versions/version_730-0014_01.html,174888,cb88771543bc17c70e8340661e0601d0881a8bb571b1debba825eebe3765cb70,True
version,730-0015,730-0015/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0015%2F01&locale=cs,archive/versions/version_730-0015_01.html,171836,3883f842b9d480b477ee704f6aa962c9752cecb60d15f36ae72ffd107f49399c,True
